Brand,Model,Price,Year,Mileage,Transmission type,Fuel type,Location,Link,Posted On
Ssang Yong,Tivoli XLV,"780,000 EGP",2018,"205,000 KM",Automatic,Gas,Cairo,https://eg.hatla2ee.com/en/car/ssang-yong/Tivoli-XLV/7234612,2026-06-18
BMW,316,"650,000 EGP",2012,"222,000 KM",Automatic,Gas,Cairo,https://eg.hatla2ee.com/en/car/bmw/316/7234609,2026-06-18
Kia,Carnival,"1,750,000 EGP",2019,"117,000 KM",Automatic,Gas,Cairo,https://eg.hatla2ee.com/en/car/kia/carnival/7234607,2026-06-18
Mercedes,GLE 450,"6,600,000 EGP",2025,"6,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/mercedes/Mercedes_GLE+450/7234605,2026-06-18
Fiat,Siena,"150,000 EGP",2001,"277,000 KM",Manual,Gas,"6 October, Giza",https://eg.hatla2ee.com/en/car/fiat/siena/7234604,2026-06-18
Renault,Kadjar,"750,000 EGP",2018,"140,000 KM",Automatic,Gas,Cairo,https://eg.hatla2ee.com/en/car/renault/Kadjar/7234603,2026-06-18
BMW,X2,"3,450,000 EGP",2026,"10,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/bmw/X2/7234597,2026-06-18
Nissan,Sentra,"680,000 EGP",2019,"140,000 KM",Automatic,Gas,Giza,https://eg.hatla2ee.com/en/car/nissan/sentra/7234596,2026-06-18
BMW,320i,"1,075,000 EGP",2013,"154,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/bmw/320i/7230262,2026-06-18
Mercedes,C 180,"1,500,000 EGP",2014,"108,000 KM",Automatic,Gas,Cairo,https://eg.hatla2ee.com/en/car/mercedes/c-180/7211031,2026-06-18
Chevrolet,Optra,"795,000 EGP",2027,0 KM,Automatic,Gas,Cairo,https://eg.hatla2ee.com/en/new-car/chevrolet/optra/unit/7234592,2026-06-18
Hyundai,Matrix,"290,000 EGP",2007,"200,000 KM",Automatic,Gas,Cairo,https://eg.hatla2ee.com/en/car/hyundai/matrix/7234593,2026-06-18
Opel,Corsa,"555,000 EGP",2016,"126,000 KM",Automatic,Gas,Cairo,https://eg.hatla2ee.com/en/car/opel/corsa/7198184,2026-06-18
Land Rover,Range Rover Vogue,"12,500,000 EGP",2023,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/land-rover/vogue/unit/7161314,2026-06-18
BMW,320i,"3,250,000 EGP",2026,"10,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/bmw/320i/7234589,2026-06-18
